#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#"Tavola 4.16 segue - Statura media degli iscritti di leva nati negli anni  1854#-1980 (a) (dati in centimetri e 
#composizioni percentuali)",,,,,,,,,,,,
#,,,,,,,,,,,,
#ANNI DI NASCITA,Statura media effettiva,,Composizioni percentuali,,,,,,,,,
#,,,,,,,,,,,,
#,,,Meno di 145,145-149,Meno di 150,150-154,155-159,160-164,165-169,170-174,175-#179,180 e oltre
#,,,,,,,,,,,,
1854,162.64,1.7,2.6,4.3,7.9,21.3,28.3,23.7,11.0,2.9,0.6
1855,162.90,1.5,2.3,3.8,7.4,20.6,29.1,24.2,11.2,3.1,0.6
1856,162.74,1.3,2.2,3.5,7.8,21.7,29.2,23.5,10.7,3.0,0.6
1857,162.85,1.4,2.1,3.5,7.5,21.6,28.8,23.9,11.0,3.1,0.6
1858,162.94,1.4,2.1,3.5,7.3,21.3,29.0,23.8,11.3,3.2,0.6
1859,163.01,1.4,2.1,3.5,7.0,21.2,29.1,24.1,11.3,3.2,0.6
1860,162.85,1.4,2.0,3.4,7.2,21.8,29.2,23.8,10.9,3.1,0.6
1861,163.01,1.4,2.1,3.5,7.0,21.0,29.1,24.3,11.3,3.2,0.6
1862,163.19,1.2,1.9,3.1,6.9,21.0,28.7,24.4,11.7,3.5,0.7
1863,163.07,1.1,1.9,3.0,6.9,22.1,29.0,23.8,11.2,3.3,0.7
1864,163.20,1.0,1.7,2.7,6.8,21.2,29.6,24.3,11.3,3.3,0.8
1865,163.36,0.9,1.6,2.5,6.5,21.1,29.6,24.5,11.6,3.4,0.8
1866,163.39,0.9,1.6,2.5,6.2,21.3,29.7,24.4,11.7,3.5,0.7
1867,163.54,0.9,1.5,2.4,5.8,20.7,30.0,24.9,11.9,3.5,0.8
1868,163.48,0.9,1.5,2.4,6.1,20.6,29.9,24.9,11.8,3.5,0.8
1869,163.43,0.9,1.5,2.4,6.1,20.8,30.1,25.0,11.6,3.3,0.7
1870,163.23,1.0,1.6,2.6,6.3,21.4,30.6,24.4,10.8,3.2,0.7
1871,163.19,1.0,1.6,2.6,6.2,22.0,30.5,24.1,10.8,3.1,0.7
1872,163.30,0.9,1.5,2.4,6.1,21.5,30.4,24.6,11.0,3.3,0.7
1873,163.68,0.7,1.2,1.9,5.3,21.1,30.3,25.3,11.7,3.5,0.9
1874,163.65,0.8,1.6,2.4,6.1,18.9,29.3,26.3,12.6,3.6,0.8
1875,163.57,0.9,1.7,2.6,6.3,19.6,29.7,25.4,12.0,3.6,0.8
1876,163.77,1.0,1.7,2.7,6.4,18.8,28.8,25.7,12.7,4.0,0.9
1877,163.89,0.9,1.6,2.5,5.9,18.5,29.0,26.3,12.9,4.0,0.9
1878,163.94,0.8,1.5,2.3,5.7,19.1,28.9,26.5,12.9,3.8,0.8
1879,163.84,0.8,1.6,2.4,6.0,18.7,29.1,26.6,12.6,3.7,0.9
1880,163.84,0.9,1.5,2.4,5.9,18.7,29.5,26.2,12.5,3.9,0.9
1881,163.90,0.8,1.5,2.3,5.8,18.7,29.5,26.2,12.7,4.0,0.8
1882,163.87,0.9,1.6,2.5,5.7,18.9,29.4,26.1,12.6,3.9,0.9
1883,163.90,0.9,1.5,2.4,5.9,18.7,29.0,26.3,12.7,4.0,1.0
1884,163.82,0.9,1.6,2.5,5.9,19.1,29.3,26.2,12.3,3.8,0.9
1885,163.70,0.9,1.7,2.6,6.1,19.0,29.7,25.7,12.2,3.8,0.9
1886,163.87,1.0,1.5,2.5,6.0,18.8,29.5,26.0,12.3,3.9,1.0
1887,163.92,0.9,1.6,2.5,5.8,19.0,29.7,26.0,12.2,3.8,1.0
1888,164.03,0.7,1.4,2.1,5.6,19.2,29.9,26.3,12.2,3.7,1.0
1889,164.17,0.6,1.3,1.9,5.2,18.5,30.1,26.7,12.8,3.8,1.0
1890,163.98,0.6,1.4,2.0,5.3,19.3,29.7,26.2,12.6,3.9,1.0
1891,164.17,0.6,1.2,1.8,5.2,18.8,29.4,26.6,12.9,4.2,1.1
1892,164.22,0.6,1.2,1.8,5.2,18.6,29.3,26.9,12.9,4.2,1.1
1893,164.27,0.5,1.1,1.6,4.9,18.7,29.6,26.9,13.1,4.1,1.1
1894,164.65,0.5,1.0,1.5,4.5,17.9,29.1,27.5,13.9,4.5,1.1
1895,164.24,0.6,1.2,1.8,5.3,18.7,29.2,26.1,13.6,4.3,1.0
1896,164.44,0.5,1.3,1.8,5.1,17.5,28.9,27.0,14.0,4.6,1.1
1897,164.08,0.6,1.5,2.1,6.0,18.2,28.7,26.3,13.4,4.3,1.0
1898,163.73,0.8,1.8,2.6,6.9,18.8,28.3,26.0,12.5,4.0,0.9
1899,162.88,1.3,2.5,3.8,9.1,19.7,28.2,24.2,11.1,3.2,0.7
1900,162.53,1.8,3.4,5.2,9.3,19.4,28.0,23.6,10.4,3.3,0.8
1901,164.54,0.5,1.3,1.8,5.8,16.1,28.1,28.0,14.0,4.9,1.3
1902,164.56,0.5,1.2,1.7,5.8,16.3,28.2,27.5,14.6,4.8,1.1
1903,164.89,0.5,1.2,1.7,5.5,15.3,27.7,28.2,15.2,5.2,1.2
1904,165.08,0.4,1.0,1.4,5.0,14.9,27.6,28.5,15.8,5.5,1.3
1905,165.05,0.3,0.9,1.2,5.0,15.2,27.8,28.5,15.7,5.3,1.3
1906,165.18,0.4,0.8,1.2,4.7,14.9,27.5,28.9,16.2,5.3,1.3
1907,165.22,0.3,0.9,1.2,4.6,14.8,27.5,28.6,16.3,5.6,1.4
1908,165.37,0.3,0.8,1.1,4.6,14.3,27.2,29.0,16.7,5.7,1.4
1909,165.39,0.3,0.8,1.1,4.5,14.3,27.2,28.9,16.8,5.8,1.4
